parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
6784,7329.67,757,552,32,direct,rf6_s32_,1696
6784,27616.47,205,648,32,direct,rf6_s4__,1696
7040,16278.2,341,807,32,direct,rf2_s16_,1760
7040,9732.87,589,759,32,direct,rf2_s32_,1760
7040,9726.2,478,1217,32,direct,rf2_s4__,1760
7040,15409.8,378,820,32,direct,rf3_s16_,1760
7040,8834.6,639,714,32,direct,rf3_s32_,1760
7040,13806.6,462,1561,32,direct,rf3_s4__,1760
7040,13972.8,381,1006,32,direct,rf4_s16_,1760
7040,8892.87,675,637,32,direct,rf4_s32_,1760
7040,18846.27,516,1587,32,direct,rf4_s4__,1760
7040,13143.2,430,1012,32,direct,rf6_s16_,1760
7040,7174.33,816,506,32,direct,rf6_s32_,1760
7040,27310.8,222,625,32,direct,rf6_s4__,1760
7296,15165.47,355,1254,32,direct,rf2_s16_,1824
7296,9946.13,609,737,32,direct,rf2_s32_,1824
7296,8626.47,585,1054,32,direct,rf2_s4__,1824
7296,15225.4,385,858,32,direct,rf3_s16_,1824
7296,9257.6,654,661,32,direct,rf3_s32_,1824
7296,13700.8,498,1597,32,direct,rf3_s4__,1824
7296,14527.07,386,883,32,direct,rf4_s16_,1824
7296,7830.13,730,691,32,direct,rf4_s32_,1824
7296,15221.93,382,1943,32,direct,rf4_s4__,1824
7296,13211.07,440,1018,32,direct,rf6_s16_,1824
7296,7303.0,822,499,32,direct,rf6_s32_,1824
7296,27455.53,228,628,32,direct,rf6_s4__,1824
7552,15744.93,368,827,32,direct,rf2_s16_,1888
7552,9816.93,635,689,32,direct,rf2_s32_,1888
7552,9472.27,609,1002,32,direct,rf2_s4__,1888
7552,15328.73,401,876,32,direct,rf3_s16_,1888
7552,9033.27,681,649,32,direct,rf3_s32_,1888
7552,15243.53,411,1288,32,direct,rf3_s4__,1888
7552,14590.47,405,899,32,direct,rf4_s16_,1888
7552,8779.6,722,593,32,direct,rf4_s32_,1888
7552,17963.87,319,1145,32,direct,rf4_s4__,1888
7552,13316.33,452,945,32,direct,rf6_s16_,1888
7552,7195.13,843,486,32,direct,rf6_s32_,1888
7552,26973.6,231,678,32,direct,rf6_s4__,1888
7808,15474.53,375,859,32,direct,rf2_s16_,1952
7808,9938.67,651,661,32,direct,rf2_s32_,1952
7808,8912.0,640,942,32,direct,rf2_s4__,1952
7808,15071.4,420,868,32,direct,rf3_s16_,1952
7808,8899.27,716,611,32,direct,rf3_s32_,1952
7808,13372.93,519,1498,32,direct,rf3_s4__,1952
7808,14320.67,425,922,32,direct,rf4_s16_,1952
7808,8562.73,753,554,32,direct,rf4_s32_,1952
7808,18935.6,314,1428,32,direct,rf4_s4__,1952
7808,12988.6,474,971,32,direct,rf6_s16_,1952
7808,6913.73,885,489,32,direct,rf6_s32_,1952
7808,26001.53,232,798,32,direct,rf6_s4__,1952
8064,15804.13,396,850,32,direct,rf2_s16_,2016
8064,9827.67,677,629,32,direct,rf2_s32_,2016
8064,8344.33,812,759,32,direct,rf2_s4__,2016
8064,14865.33,433,816,32,direct,rf3_s16_,2016
8064,8627.6,770,638,32,direct,rf3_s32_,2016
8064,13331.87,413,1283,32,direct,rf3_s4__,2016
8064,14456.27,429,895,32,direct,rf4_s16_,2016
8064,8836.47,768,533,32,direct,rf4_s32_,2016
8064,17138.33,731,1505,32,direct,rf4_s4__,2016
8064,12728.4,485,941,32,direct,rf6_s16_,2016
8064,7211.2,916,472,32,direct,rf6_s32_,2016
8064,26176.73,250,698,32,direct,rf6_s4__,2016
8320,15873.27,404,853,32,direct,rf2_s16_,2080
8320,9788.27,701,581,32,direct,rf2_s32_,2080
8320,9549.13,605,893,32,direct,rf2_s4__,2080
8320,15109.2,432,830,32,direct,rf3_s16_,2080
8320,9102.6,754,546,32,direct,rf3_s32_,2080
8320,13803.2,538,1082,32,direct,rf3_s4__,2080
8320,13485.07,449,968,32,direct,rf4_s16_,2080
8320,8704.2,801,535,32,direct,rf4_s32_,2080
8320,17631.27,342,1127,32,direct,rf4_s4__,2080
8320,12706.0,496,895,32,direct,rf6_s16_,2080
8320,6542.67,947,492,32,direct,rf6_s32_,2080
8320,26381.2,256,706,32,direct,rf6_s4__,2080
8576,15856.73,412,878,32,direct,rf2_s16_,2144
8576,9647.93,729,589,32,direct,rf2_s32_,2144
8576,9702.0,612,905,32,direct,rf2_s4__,2144
8576,15204.93,458,814,32,direct,rf3_s16_,2144
8576,8272.33,800,639,32,direct,rf3_s32_,2144
8576,13521.13,480,1229,32,direct,rf3_s4__,2144
8576,14369.53,461,809,32,direct,rf4_s16_,2144
8576,7258.2,923,549,32,direct,rf4_s32_,2144
8576,17891.8,354,1130,32,direct,rf4_s4__,2144
8576,13117.8,511,852,32,direct,rf6_s16_,2144
8576,6815.87,1027,511,32,direct,rf6_s32_,2144
8576,25665.73,261,709,32,direct,rf6_s4__,2144
8832,14994.13,430,826,32,direct,rf2_s16_,2208
8832,9212.53,757,575,32,direct,rf2_s32_,2208
8832,9863.93,643,819,32,direct,rf2_s4__,2208
8832,14880.8,477,794,32,direct,rf3_s16_,2208
8832,9080.13,800,528,32,direct,rf3_s32_,2208
8832,14299.07,445,971,32,direct,rf3_s4__,2208
8832,14033.33,475,846,32,direct,rf4_s16_,2208
8832,8684.27,858,535,32,direct,rf4_s32_,2208
8832,17796.07,606,1369,32,direct,rf4_s4__,2208
8832,13061.4,526,788,32,direct,rf6_s16_,2208
8832,6837.33,1057,536,32,direct,rf6_s32_,2208
8832,27042.87,264,684,32,direct,rf6_s4__,2208
